affiliation,num_papers,num_authors,is_chinese_affiliation
"University of Maryland, College Park, USA",7,14,False
"ETH Zurich, Switzerland",7,11,False
CASIA; UCAS,6,17,True
Mohamed bin Zayed University of AI; Aalto University,6,2,False
University of British Columbia; Vector Institute; Canada CIFAR AI Chair,6,2,False
Tencent YouTu Lab,6,23,True
Peking University; Zhongguancun Academy,6,5,True
"Meituan, Beijing, China",6,22,True
University of Waterloo; M-A-P,6,1,False
Great Bay University,6,4,False
Microsoft Research; Peking University,6,6,True
"FAIR, Meta AI",6,23,False
Waseda University,6,17,False
Meta FAIR; New York University,6,3,False
University of British Columbia; Vector Institute for AI,6,9,False
Technical University of Darmstadt,6,10,False
Drexel University,6,3,False
Oracle,6,7,False
University of Edinburgh; Miniml.AI,6,1,False
Hebrew University of Jerusalem,6,8,False
University of Queensland,6,6,False
CISPA Helmholtz Center for Information Security,6,5,False
University of Pittsburgh,6,7,False
Upstage AI,6,13,False
MBZUAI; Ecole Polytechnique,6,3,False
UCSB,6,5,False
University of Bristol,6,8,False
Kling Team,6,11,False
"WeChat AI, Tencent",6,9,True
LMU Munich; Munich Center for Machine Learning (MCML),6,5,False
"IAIR, Xi’an Jiaotong University",6,2,False
XMU,6,17,False
XJTU,6,6,False
University of the Chinese Academy of Sciences,6,7,True
Chung-Ang University,6,5,False
"Huazhong University of Science and Technology, Wuhan, China",6,22,True
Tsinghua University; ShengShu,6,5,True
Cisco,6,6,False
Illuin Technology,6,9,False
"Language Technology Lab, University of Cambridge",6,8,False
"Gaoling School of Artificial Intelligence, Renmin University of China.",6,22,True
Cornell Tech,6,13,False
University of California Santa Cruz,6,16,False
LAION,6,6,False
Didichuxing Co. Ltd,6,12,True
Panasonic AI Research,6,3,False
"Noah’s Ark Lab, Huawei",6,11,True
University of California Los Angeles,6,9,False
"ShanghaiTech University, Shanghai, China",6,9,True
Griffith University,6,8,False
The Chinese University of Hong Kong (Shenzhen),6,8,True
Electronics and Telecommunications Research Institute,6,8,False
Shanghai AI Laboratory; University of Science and Technology of China,6,7,True
Zhejiang University; Zhejiang Key Laboratory of Big Data Intelligent Computing,6,2,True
Infinigence AI,6,9,False
University of Utah,6,5,False
Oregon State University,6,5,False
"School of Information, Renmin University of China, Beijing, China",6,14,True
AI at Meta,6,26,False
"Beihang University, China",6,8,True
HSE University,6,10,False
SII,6,18,False
National Tsing Hua University,6,7,False
SenseTime,6,10,True
Tencent AI Lab Seattle,6,10,True
"Blavatnik School of Computer Science and AI, Tel Aviv University",6,14,False
"VRG, FEE, Czech Technical University in Prague",6,13,False
BIGAI,6,12,False
Hanyang University,6,6,False
"State Key Laboratory for Novel Software Technology, Nanjing University, China",6,20,True
Bocconi University,6,6,False
Shanghai Jiao Tong University; Shanghai Innovation Institute,6,13,True
"The Conversational AI (CoAI) group, DCST, Tsinghua University",6,19,True
"College of Computer Science and Artificial Intelligence, Fudan University",6,21,True
"AIRI, Moscow, Russia; Neural Networks and Deep Learning Lab, MIPT, Dolgoprudny, Russia",6,3,False
IISc Bangalore,6,10,False
"Institute of Software, Chinese Academy of Sciences",6,9,True
TU Darmstadt,6,5,False
"DAMO Academy, Alibaba Group; Zhejiang University",6,8,True
"Knovel Engineering Lab, Singapore",6,1,False
University of Tubingen,6,6,False
DEVCOM Army Research Laboratory,6,5,False
RWTH Aachen University,6,10,False
The University of Chicago,6,7,False
Hangzhou Dianzi University,6,13,True
University of Montreal,6,5,False
"Nanjing University; OpenGVLab, Shanghai AI Laboratory",6,6,True
"School of Data Science, Fudan University",6,11,True
01.AI,6,17,False
"Institute for Artificial Intelligence, Peking University",6,18,True
Tencent Hunyuan Team,6,15,True
"Alibaba Group, Beijing, China",6,23,True
"Shanghai AI Laboratory; MMLab, The Chinese University of Hong Kong",6,2,True
AWS Agentic AI,6,39,False
"Kuaishou Technology, Beijing, China",6,15,True
McGill University; Mila - Quebec AI Institute,6,8,False
Zhejiang University; ByteDance,6,9,True
Carleton University,6,3,False
Xidian University,6,8,False
University of Glasgow,6,10,False
Google DeepMind; Stanford University,6,7,False
LIGHTSPEED,6,12,False
University of Adelaide,6,8,False
Mila; Université de Montréal,6,6,False
Weizmann Institute of Science,6,13,False
Skoltech,6,5,False
"MAIS, Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences",6,6,True
"The Chinese University of Hong Kong, Shenzhen, China",6,26,True
University of British Columbia; Vector Institute,6,8,False
Nanjing University of Aeronautics and Astronautics,6,6,True
"Institute for Intelligent Computing, Alibaba Group",6,26,True
MEGVII Technology,6,12,True
Durham University,6,4,False
"Huawei Technologies Co., Ltd.",6,21,True
Google Research; Tel Aviv University,6,3,False
Monash University; CSIRO’s Data61,5,2,False
Shanghai AI Laboratory; CUHK,5,4,True
"University of Washington, Seattle",5,10,False
UW,5,9,False
"vivo Mobile Communication Co., Ltd",5,11,True
"School of Engineering, Westlake University",5,11,False
Baidu,5,6,True
FuriosaAI,5,5,False
Roblox,5,14,False
LMU Munich; Munich Center for Machine Learning,5,4,False
"National Key Laboratory for Multimedia Information Processing, Peking University",5,10,True
"AI Institute, University of South Carolina, USA",5,6,False
Shanghai Artificial Intelligence Laboratory; Nanjing University,5,5,True
1,5,27,False
J.P. Morgan AI Research,5,17,False
Rochester Institute of Technology,5,8,False
Google DeepMind; UC Berkeley,5,5,False
"AGI Lab, Westlake University",5,9,False
Bosch Center for Artificial Intelligence,5,7,False
UPenn,5,12,False
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",5,8,True
"Dept. of Comp. Sci. and Tech., Institute for AI, BNRist Center, THBI Lab, Tsinghua-Bosch Joint ML Center, Tsinghua University",5,14,True
Mila – Quebec AI Institute,5,7,False
