affiliation,num_papers
MIT-IBM Watson AI Lab,27
University of North Carolina at Chapel Hill,26
NTU,26
University of California San Diego,26
"Tsinghua University, Beijing, China",26
Salesforce Research,26
Adobe,26
"GenAI, Meta",26
Toyota Research Institute,26
Xiamen University,26
"FAIR, Meta",26
SJTU,26
University of Amsterdam,26
Meta Reality Labs,26
University of Toronto; Vector Institute,26
"Qwen Team, Alibaba Group",25
University of Washington; Allen Institute for AI,25
Lehigh University,25
Tsinghua University; Shanghai AI Laboratory,25
Zhipu AI,25
AWS AI Labs,24
University of Hong Kong,24
Arizona State University,24
Dalian University of Technology,24
Shanghai Artificial Intelligence Laboratory; Fudan University,24
PKU,24
THU,24
Fudan University; Shanghai AI Laboratory,24
Nankai University,24
Shanghai Artificial Intelligence Laboratory; Shanghai Jiao Tong University,23
Tencent Youtu Lab,23
University of Massachusetts Amherst,23
Rice University,23
HKUST(GZ); HKUST,23
Shanghai AI Laboratory; Shanghai Innovation Institute,23
"School of Computer Science, Peking University",23
Mohamed bin Zayed University of Artificial Intelligence,22
Southern University of Science and Technology,22
UCSD,22
NVIDIA Research,22
Simon Fraser University,22
National Taiwan University,22
NYU,22
ServiceNow Research,22
UC Santa Barbara,22
Beijing Jiaotong University,22
Beijing Institute of Technology,22
NJU,22
Boston University,21
Southeast University,21
Shanghai Jiaotong University,21
BAAI,20
Central South University,20
UCAS,20
DeepSeek-AI,20
"Visual Geometry Group, University of Oxford",20
Baidu Inc.,20
Washington University in St. Louis,20
University of Trento,20
KAIST; DeepAuto.ai,20
"Department of Computer Science, Stanford University",20
Intel Labs,19
"AMAP, Alibaba Group",19
"State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University",19
Google Cloud AI Research,19
University of Central Florida,19
The University of Sydney,19
University of Illinois Chicago,19
UMass Amherst,19
"State Key Laboratory of General Artificial Intelligence, BIGAI",18
"Harbin Institute of Technology, Shenzhen",18
UNC-Chapel Hill,18
Google Deepmind,18
"Department of Computer Science and Technology, Tsinghua University",18
Zhejiang University; Westlake University,18
"University of California, Merced",18
"Microsoft Research, Redmond",18
Sapienza University of Rome,18
"National University of Singapore, Singapore",18
"Zhejiang University, China",18
Shanghai AI Laboratory; Tsinghua University,17
Hong Kong University of Science and Technology (Guangzhou),17
NVIDIA; MIT,17
LG AI Research,17
"Zhejiang University, Hangzhou, China",17
University of Surrey,17
Hong Kong Baptist University,17
Hong Kong Polytechnic University,17
Fudan University; Shanghai Artificial Intelligence Laboratory,17
"MMLab, CUHK",16
Emory University,16
USC,16
EleutherAI,16
Dartmouth College,16
University of Waterloo; Vector Institute,16
The Hebrew University of Jerusalem,16
University of Washington; Allen Institute for Artificial Intelligence,16
University of Science and Technology of China; Shanghai AI Laboratory,16
"Tsinghua University, China",16
California Institute of Technology,16
"OpenGVLab, Shanghai AI Laboratory",16
University of Copenhagen,15
"Department of Automation, Tsinghua University",15
Shanghai Jiao Tong University; Shanghai Artificial Intelligence Laboratory,15
Sungkyunkwan University,15
AIRI; Skoltech,15
POSTECH,15
The Chinese University of Hong Kong; Shanghai Artificial Intelligence Laboratory,15
University of Manchester,15
"Shanghai Jiao Tong University, Shanghai, China",15
University of Oregon,15
University of Macau,15
University of Technology Sydney,15
Baichuan Inc.,15
International Digital Economy Academy (IDEA),15
Shandong University,14
University at Buffalo,14
Australian National University,14
"Sea AI Lab, Singapore",14
The University of Manchester,14
ZJU,14
BUPT,14
Toyota Technological Institute at Chicago,14
Nanjing University; Shanghai AI Laboratory,14
Bar-Ilan University,14
University of Georgia,14
Shenzhen University,14
Nanjing University of Science and Technology,14
GigaAI,14
Huawei,14
KRAFTON,14
Skywork AI,14
Cisco Research,14
Sun Yat-Sen University,13
Tianjin University,13
The Pennsylvania State University,13
The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology,13
ServiceNow,13
Westlake University; Zhejiang University,13
Sichuan University,13
"University of Science and Technology of China, Hefei, China",13
VAST,13
University of Minnesota,13
Tongyi Lab,13
"Peking University, China",13
Bytedance,13
ByteDance Research,13
University of Sydney,13
The Australian National University,13
The University of Edinburgh,13
University of Tübingen,13
"MMLab, The Chinese University of Hong Kong",13
"S-Lab, NTU",13
Shanghai Artificial Intelligence Laboratory; Tsinghua University,13
Contextual AI,13
MIT; NVIDIA,13
"University of California, Davis",13
Queen Mary University of London,13
UW-Madison,13
NVIDIA; University of Toronto; Vector Institute,12
Michigan State University,12
Snap Research,12
Scale AI,12
DeepWisdom,12
Chinese University of Hong Kong,12
"Wangxuan Institute of Computer Technology, Peking University",12
Amazon Web Services,12
Pennsylvania State University,12
Meta GenAI,12
Stevens Institute of Technology,12
University of New South Wales,12
"College of Computer Science and Technology, Zhejiang University",12
UC Davis,12
Shanghai AI Laboratory; Zhejiang University,12
Shanghai AI Laboratory; Nanjing University,12
"Shanghai Jiao Tong University, China",12
Shanghai AI Laboratory; Fudan University,12
"Tsinghua Shenzhen International Graduate School, Tsinghua University",12
"Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China",12
NVIDIA; Stanford University,12
Max Planck Institute for Intelligent Systems,12
"Shenzhen International Graduate School, Tsinghua University",12
RUC,11
Allen Institute for Artificial Intelligence; University of Washington,11
Huawei Inc.,11
Cohere Labs,11
Beijing Normal University,11
"Institute of Computing Technology, Chinese Academy of Sciences",11
Northwestern Polytechnical University,11
University of Arizona,11
"VCIP, CS, Nankai University",11
Shanghai Jiao Tong University; Generative AI Research Lab (GAIR),11
vivo AI Lab,11
Yandex Research,11
NAVER AI Lab,11
Institute of Science Tokyo,11
Intel,11
University of Liverpool,11
University of Texas at Dallas,11
Alibaba,11
University of Zurich,11
TikTok,11
Google Cloud,11
"Qwen Team, Alibaba Inc.",11
FDU,11
"School of Computer Science, Fudan University",11
LMU Munich,11
Chongqing University,11
King Abdullah University of Science and Technology (KAUST),11
"University of California, Irvine",11
"Stanford University, USA",11
Sony AI,11
Mila,11
Harbin Institute of Technology (Shenzhen),11
T-Tech,11
"Chinese Information Processing Laboratory, Institute of Software, Chinese Academy of Sciences",11
"S-Lab, Nanyang Technological University, Singapore",11
Tel-Aviv University,11
Tsinghua University; Shanghai Artificial Intelligence Laboratory,11
HUST,11
Zhejiang University; Shanghai AI Laboratory,10
Skoltech; AIRI,10
Harvard,10
Huawei Cloud,10
Alibaba Cloud Computing,10
Technion,10
Amazon AGI,10
McGill University,10
Mohamed bin Zayed University of AI; Linköping University,10
Capital One,10
Mohamed bin Zayed University of AI,10
Sensetime Research,10
William & Mary,10
"State Key Laboratory for Novel Software Technology, Nanjing University",10
HKUST (GZ),10
Mohamed bin Zayed University of AI; Australian National University,10
King Abdullah University of Science and Technology,10
Technion – Israel Institute of Technology,10
Horizon Robotics,10
"Chinese Information Processing Laboratory, Institute of Software, Chinese Academy of Sciences; University of Chinese Academy of Sciences",10
"Intelligent Creation Lab, ByteDance",10
"IIIS, Tsinghua University",10
King’s College London,10
Auburn University,10
Shanghai AI Laboratory; Shanghai Jiaotong University,10
Cohere For AI,10
Lawrence Livermore National Laboratory,10
"National Key Laboratory for Novel Software Technology, Nanjing University",10
Bytedance Seed,10
Ohio State University,10
"Imperial College London, UK",10
NAVER Cloud,10
HKUST; Ant Group,10
"Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences",10
Illinois Institute of Technology,10
"Beijing University of Posts and Telecommunications, Beijing, China",9
Stanford University; Google DeepMind,9
"Carnegie Mellon University, USA",9
"Multimedia Laboratory (MMLab), The Chinese University of Hong Kong",9
Adobe Inc.,9
NVIDIA; UC Berkeley,9
Shanghai Innovation Institute; Fudan University,9
BUAA,9
Sony Group Corporation,9
"Harbin Institute of Technology, Shenzhen, China",9
AMD,9
OPPO,9
PolyU,9
"Institute for AI Industry Research (AIR), Tsinghua University",9
"Shanghai Artificial Intelligence Laboratory, Shanghai, China",9
Zhongguancun Academy,9
Center for AI Safety,9
DP Technology,9
"Tel Aviv University, Israel",9
"Meta AI, USA",9
"LLM Department, Tencent",9
Zhejiang University; Ant Group,9
Ant Group; Zhejiang University - Ant Group Joint Laboratory of Knowledge Graph,9
IBM Research AI,9
Shanghai Innovation Institute; Shanghai AI Lab,9
Technion - Israel Institute of Technology,9
DeepGlint,9
"Department of Electronic Engineering, Tsinghua University",9
ByteDance Intelligent Creation,9
"Renmin University of China, Beijing, China",9
University of Alberta,9
AgiBot,9
Apple Inc.,9
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",9
"Shanghai Artificial Intelligence Laboratory, China",9
"National University of Singapore, NUS-NCS Joint Lab, Singapore",9
Moonshot AI,9
Microsoft Research; Tsinghua University,9
Zhejiang University; Shanghai Artificial Intelligence Laboratory,9
"Department of Computer Science and Technology, Tsinghua University, Beijing, China",9
Fondazione Bruno Kessler,8
"Language Technologies Institute, Carnegie Mellon University",8
Together AI,8
DisneyResearch|Studios,8
ANU,8
UC Merced,8
Vanderbilt University,8
"The University of Hong Kong, China",8
"Institute of Information Engineering, Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences",8
"Department of Computer Science, Princeton University",8
Tencent PCG,8
"WeChat Vision, Tencent Inc.",8
"London Institute for Mathematical Sciences, London, UK",8
Shanghai AI Laboratory; Peking University,8
University of Science and Technology of China; Shanghai Artificial Intelligence Laboratory,8
OPPO Research Institute,8
"Fondazione Bruno Kessler, Italy",8
OPPO AI Agent Team,8
Zhejiang University; Zhejiang University - Ant Group Joint Laboratory of Knowledge Graph,8
"Singapore University of Technology and Design, Singapore",8
Caltech,8
Sakana AI,8
"Paul G. Allen School of Computer Science & Engineering, University of Washington",8
"University of Michigan, Ann Arbor",8
ByteDance Seed; Peking University,8
Amazon GenAI,8
"Baidu Inc., Beijing, China",8
Tsinghua University; Shanghai Qi Zhi Institute,8
The Fin AI,8
MiniMax,8
Chinese Academy of Sciences,8
Shanghai Artificial Intelligence Laboratory; Shanghai Innovation Institute,8
"University of Washington, Seattle, WA, USA",8
"Tencent AI Lab; ARC Lab, Tencent PCG",8
Meta AI Research,8
MiroMind AI,8
"Fudan University, Shanghai, China",8
"School of Artificial Intelligence, Shanghai Jiao Tong University",8
JHU,8
"Alibaba Group, Hangzhou, China",8
Sea AI Lab; National University of Singapore,8
"Tencent AI Lab, China",8
ModelBest Inc.,8
"Adobe Research, USA",8
Meta Reality Labs Research,8
"School of EIC, Huazhong University of Science & Technology",8
"Department of Computer Science, University of Maryland, College Park",7
"DAMO Academy, Alibaba Group; Hupan Lab; Zhejiang University",7
Menlo Research,7
Shanghai Artificial Intelligence Laboratory; University of Science and Technology of China,7
Snowflake AI Research,7
"Peking University, Beijing, China",7
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences; University of Chinese Academy of Sciences",7
Mila - Quebec AI Institute; Université de Montréal,7
"MAIS, Institute of Automation, Chinese Academy of Sciences",7
"National Taiwan University, Taipei, Taiwan",7
"Institute of Automation, CAS",7
"Kolors Team, Kuaishou Technology",7
"Hunyuan, Tencent",7
Inria,7
University of Florida,7
"Google DeepMind, London, UK",7
"Machine Learning Department, Carnegie Mellon University",7
"Skywork AI, Kunlun Inc.",7
State University of New York at Buffalo,7
Shanghai AI Laboratory; The University of Hong Kong,7
Li Auto Inc.,7
"Tübingen AI Center, University of Tübingen",7
"PeopleTec, Inc., Huntsville, AL",7
Aalto University,7
Lambda Labs,7
University of Sheffield,7
The University of Hong Kong; Shanghai AI Laboratory,7
"Codec Avatars Lab, Meta",7
"State Key Lab of CAD&CG, Zhejiang University",7
Multimodal Art Projection Research Community,7
"Hong Kong University of Science and Technology, China",7
OPPO AI Center,7
University of Connecticut,7
WHU,7
"Reality Labs Research, Meta",7
Qatar Computing Research Institute (QCRI),7
NVIDIA; National Taiwan University,7
"The Chinese University of Hong Kong, China",7
"Univ. Lille, Inria, CNRS, Centrale Lille, UMR 9189 - CRIStAL, F-59000 Lille, France",7
"Shanghai AI Laboratory, Shanghai, China",7
Nvidia,7
QuantaAlpha,7
Tsinghua University; Shanghai AI Lab,7
Meta AI (FAIR),7
2077AI,7
Microsoft Azure AI,7
Yandex,7
Tsinghua University; Microsoft Research Asia,7
"School of Software, Beihang University",7
ByteDance Inc,7
NVIDIA; UT Austin,7
"VCIP, School of Computer Science, Nankai University",7
HKU MMLab,7
Case Western Reserve University,7
"Fudan University, China",7
Korea University; AIGEN Sciences,7
HiDream.ai Inc.,7
"Google, USA",7
Alibaba International Digital Commerce,7
Inclusion AI,7
"Inria, Paris, France",7
"Department of Computer Science, Purdue University",7
"EPIC Lab, Shanghai Jiao Tong University",7
Generative AI Research Lab (GAIR),7
"Pattern Recognition Center, WeChat AI, Tencent Inc, China",7
Tübingen AI Center; University of Tübingen,7
Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ),7
"The Chinese University of Hong Kong, Shenzhen; Shenzhen Research Institute of Big Data",7
"University of Maryland, College Park, USA",7
"ETH Zurich, Switzerland",7
CASIA; UCAS,6
Mohamed bin Zayed University of AI; Aalto University,6
University of British Columbia; Vector Institute; Canada CIFAR AI Chair,6
Tencent YouTu Lab,6
Peking University; Zhongguancun Academy,6
"Meituan, Beijing, China",6
University of Waterloo; M-A-P,6
Great Bay University,6
Microsoft Research; Peking University,6
"FAIR, Meta AI",6
Waseda University,6
Meta FAIR; New York University,6
University of British Columbia; Vector Institute for AI,6
Technical University of Darmstadt,6
Drexel University,6
Oracle,6
University of Edinburgh; Miniml.AI,6
Hebrew University of Jerusalem,6
University of Queensland,6
CISPA Helmholtz Center for Information Security,6
University of Pittsburgh,6
Upstage AI,6
MBZUAI; Ecole Polytechnique,6
UCSB,6
University of Bristol,6
Kling Team,6
"WeChat AI, Tencent",6
LMU Munich; Munich Center for Machine Learning (MCML),6
"IAIR, Xi’an Jiaotong University",6
XMU,6
XJTU,6
University of the Chinese Academy of Sciences,6
Chung-Ang University,6
"Huazhong University of Science and Technology, Wuhan, China",6
Tsinghua University; ShengShu,6
Cisco,6
Illuin Technology,6
"Language Technology Lab, University of Cambridge",6
"Gaoling School of Artificial Intelligence, Renmin University of China.",6
Cornell Tech,6
University of California Santa Cruz,6
LAION,6
Didichuxing Co. Ltd,6
Panasonic AI Research,6
"Noah’s Ark Lab, Huawei",6
University of California Los Angeles,6
"ShanghaiTech University, Shanghai, China",6
Griffith University,6
The Chinese University of Hong Kong (Shenzhen),6
Electronics and Telecommunications Research Institute,6
Shanghai AI Laboratory; University of Science and Technology of China,6
Zhejiang University; Zhejiang Key Laboratory of Big Data Intelligent Computing,6
Infinigence AI,6
University of Utah,6
Oregon State University,6
"School of Information, Renmin University of China, Beijing, China",6
AI at Meta,6
"Beihang University, China",6
HSE University,6
SII,6
National Tsing Hua University,6
SenseTime,6
Tencent AI Lab Seattle,6
"Blavatnik School of Computer Science and AI, Tel Aviv University",6
"VRG, FEE, Czech Technical University in Prague",6
BIGAI,6
Hanyang University,6
"State Key Laboratory for Novel Software Technology, Nanjing University, China",6
Bocconi University,6
Shanghai Jiao Tong University; Shanghai Innovation Institute,6
"The Conversational AI (CoAI) group, DCST, Tsinghua University",6
"College of Computer Science and Artificial Intelligence, Fudan University",6
"AIRI, Moscow, Russia; Neural Networks and Deep Learning Lab, MIPT, Dolgoprudny, Russia",6
IISc Bangalore,6
"Institute of Software, Chinese Academy of Sciences",6
TU Darmstadt,6
"DAMO Academy, Alibaba Group; Zhejiang University",6
"Knovel Engineering Lab, Singapore",6
University of Tubingen,6
DEVCOM Army Research Laboratory,6
RWTH Aachen University,6
The University of Chicago,6
Hangzhou Dianzi University,6
University of Montreal,6
"Nanjing University; OpenGVLab, Shanghai AI Laboratory",6
"School of Data Science, Fudan University",6
01.AI,6
"Institute for Artificial Intelligence, Peking University",6
Tencent Hunyuan Team,6
"Alibaba Group, Beijing, China",6
"Shanghai AI Laboratory; MMLab, The Chinese University of Hong Kong",6
AWS Agentic AI,6
"Kuaishou Technology, Beijing, China",6
McGill University; Mila - Quebec AI Institute,6
Zhejiang University; ByteDance,6
Carleton University,6
Xidian University,6
University of Glasgow,6
Google DeepMind; Stanford University,6
LIGHTSPEED,6
University of Adelaide,6
Mila; Université de Montréal,6
Weizmann Institute of Science,6
Skoltech,6
"MAIS, Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences",6
"The Chinese University of Hong Kong, Shenzhen, China",6
University of British Columbia; Vector Institute,6
Nanjing University of Aeronautics and Astronautics,6
"Institute for Intelligent Computing, Alibaba Group",6
MEGVII Technology,6
Durham University,6
"Huawei Technologies Co., Ltd.",6
Google Research; Tel Aviv University,6
Monash University; CSIRO’s Data61,5
Shanghai AI Laboratory; CUHK,5
"University of Washington, Seattle",5
UW,5
"vivo Mobile Communication Co., Ltd",5
"School of Engineering, Westlake University",5
Baidu,5
FuriosaAI,5
Roblox,5
LMU Munich; Munich Center for Machine Learning,5
"National Key Laboratory for Multimedia Information Processing, Peking University",5
"AI Institute, University of South Carolina, USA",5
Shanghai Artificial Intelligence Laboratory; Nanjing University,5
1,5
J.P. Morgan AI Research,5
Rochester Institute of Technology,5
Google DeepMind; UC Berkeley,5
"AGI Lab, Westlake University",5
Bosch Center for Artificial Intelligence,5
UPenn,5
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",5
"Dept. of Comp. Sci. and Tech., Institute for AI, BNRist Center, THBI Lab, Tsinghua-Bosch Joint ML Center, Tsinghua University",5
Mila – Quebec AI Institute,5
"Southeast University, China",5
"Peking University; Kling Team, Kuaishou Technology",5
Oxford University,5
Databricks,5
Oxford,5
"The University of Hong Kong; OpenGVLab, Shanghai AI Laboratory",5
"Peking University, Shenzhen Graduate School",5
Shenzhen MSU-BIT University,5
TUM,5
Intel Corporation,5
AI Geeks,5
"The University of Hong Kong; ARC Lab, Tencent PCG",5
"King’s College London, UK",5
"Pattern Recognition Center, WeChat AI, Tencent Inc",5
Independent researcher,5
"Institute of Artificial Intelligence (TeleAI), China Telecom",5
"DAMO Academy, Alibaba Group, Singapore",5
National University of Defense Technology,5
Unbabel,5
PKU; QuantaAlpha,5
TAMU,5
"National Key Laboratory for Multimedia Information Processing, School of Computer Science, Peking University",5
360 AI Research,5
Beijing Academy of Artificial Intelligence; Peking University,5
"School of Artificial Intelligence, University of Chinese Academy of Sciences",5
DeepMind,5
Mila - Quebec AI Institute,5
"GVC Lab, Great Bay University",5
Astribot,5
University of Trento; Fondazione Bruno Kessler,5
MiroMind,5
"Inclusion AI, Ant Group",5
"MMLab, CUHK; Shanghai AI Laboratory",5
"The University of Hong Kong, Hong Kong, China",5
ByteDance Seed; Carnegie Mellon University,5
Samsung Research America,5
UESTC,5
"School of Computing and Data Science, The University of Hong Kong",5
University of Washington; Google Research,5
SenseTime Group,5
Google LLC,5
Beijing Academy of Artificial Intelligence (BAAI),5
"SnT, University of Luxembourg",5
Nota Inc.,5
"Department of Computer Science, Cornell University",5
Zhejiang University; Alibaba Group,5
Amazon Research,5
UC Berkeley; Google DeepMind,5
University of Helsinki,5
Tsinghua University; ByteDance Seed,5
Cardiff University,5
University of Bologna,5
"Department of Computer Science, University of Copenhagen",5
InstantX Team,5
"Tencent AI Lab, Bellevue, WA",5
"AWorld Team, Inclusion AI",5
Lingnan University,5
Shanghai Jiao Tong University; SII; Generative AI Research Lab (GAIR),5
HKUST (Guangzhou),5
"Sakana AI, Japan",5
Zhejiang University; National University of Singapore,5
Google Research; UC Berkeley,5
ECNU,5
"University of North Carolina, Chapel Hill",5
CUHK MMLab; Shanghai AI Laboratory,5
University of Geneva,5
Yale,5
"ETH Zürich, Switzerland",5
"AIRI, Moscow, Russia",5
Shanghai University of Finance and Economics,5
Salesforce AI,5
Aarhus University,5
Ant Group; Westlake University,5
Huawei Technologies,5
Linköping University,5
Flatiron Institute,5
"Institute for Advanced Algorithms Research, Shanghai, China",5
University of Illinois at Chicago,5
Princeton,5
"Qwen DianJin Team, Alibaba Cloud Computing",5
Meituan Inc.,5
KU Leuven,5
SCUT,5
SMU,5
All Hands AI,5
Snap Inc.; UC Merced,5
"Google, Paradigms of Intelligence Team",5
Tsinghua Shenzhen International Graduate School,5
NVIDIA Corporation,5
Zhejiang Lab,5
Luma AI,5
Technical University of Munich; Munich Center for Machine Learning,5
"School of Computer Science, Fudan University, Shanghai, China",5
SJTU; Shanghai AI Laboratory,5
Netflix,5
"ETH Zurich, Zurich, Switzerland",5
"University of Maryland, Baltimore County",5
Huawei Poisson Lab,5
SUFE,5
MediaTek Research,5
"Microsoft, USA",5
Shanghai Jiaotong University; Shanghai AI Laboratory,5
Shanghai Jiao Tong University; Shanghai Artificial Intelligence Laboratory; Generative AI Research Lab (GAIR),5
Hunan University,5
Tencent AI Seattle Lab,5
Ant Group; Zhejiang University,5
Yale NLP Lab,5
Donghua University,5
"ReLER, CCAI, Zhejiang University",5
"Institute of Automation, Chinese Academy of Sciences; University of Chinese Academy of Sciences",5
WeChat AI,5
"Gaoling School of Artificial Intelligence, Renmin University of China; Beijing Key Laboratory of Research on Large Models and Intelligent Governance; Engineering Research Center of Next-Generation Intelligent Search and Recommendation, MOE",5
Shanghai Innovation Institute; Shanghai AI Laboratory,5
Peng Cheng Laboratory,5
"Intelligent Creation Team, ByteDance",5
University of Science and Technology Beijing,5
GigaAI; Tsinghua University,5
Shanghai Jiao Tong University; Infinigence AI,5
"ShanghaiTech University, China",5
Tencent; Tsinghua University,5
"Intelligent Creation, ByteDance",5
"Max Planck Institute for Intelligent Systems, Tübingen, Germany",5
Warsaw University of Technology,5
Samaya AI,5
"Max Planck Institute for Intelligent Systems, Germany",5
University of Cambridge; The Alan Turing Institute,5
"StatNLP Research Group, Singapore University of Technology and Design",5
Dolby Labs,5
"Nanyang Technological University, Singapore, Singapore",5
"East China Normal University, Shanghai, China",5
SHI Labs @ Georgia Tech,5
Hong Kong University of Science and Technology (Guangzhou); Hong Kong University of Science and Technology,5
The University of North Carolina at Chapel Hill,5
Dolby Laboratories,5
Contextual AI; Stanford University,5
ISTA,5
"Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Beijing Key Laboratory of Research on Large Models and Intelligent Governance; Engineering Research Center of Next-Generation Intelligent Search and Recommendation, MOE",5
"Multimedia Laboratory, The Chinese University of Hong Kong",5
"Tsinghua University; OpenGVLab, Shanghai AI Laboratory",5
Lancaster University,5
Shanghai Innovation Institute; Shanghai Jiao Tong University,5
Qiyuan Tech,5
"City University of Hong Kong, China",5
Eindhoven University of Technology,5
"Department of Automation, Tsinghua University, China",5
University of Aberdeen,5
Penn State University,5
Tsinghua University; Tencent,5
"College of Computer Science and Technology, Zhejiang University, Hangzhou, China",4
"The Hong Kong University of Science and Technology (Guangzhou), China",4
University of Illinois Urbana–Champaign,4
UNC,4
Tufts University,4
"Data Science Group, University of Hamburg",4
"Beijing Academy of Artificial Intelligence, Beijing, China",4
"City University of Hong Kong, Hong Kong SAR, China",4
"Queen’s University, Canada",4
"PaddlePaddle Team, Baidu Inc.",4
Harbin Institute of Technology; Zhongguancun Academy,4
"Sony AI, Tokyo, Japan",4
"The Knowledge Engineering Group (KEG), Tsinghua University",4
UMich,4
Shanghai AI Lab; The University of Hong Kong,4
M-A-P; University of Manchester,4
"University of Chinese Academy of Sciences; Institute of Automation, Chinese Academy of Sciences",4
BeingBeyond,4
Fudan University; StepFun,4
